Nombre,Ubicación,Superficie (km²),Profundidad máxima (m),Profundidad media (m),Coordenadas,Sup tamaño
Lago Argentino,Santa Cruz,1435,500,150,-50.24805555555556 -72.64527777777778,grande
Lago Viedma,Santa Cruz,1166,,,-49.62416666666667 -72.495,grande
Lago Nahuel Huapi,Río Negro / Neuquén,540,464,157,-40.85444444444445 -71.61611111111111,grande
Lago Musters,Chubut,427,39,20,-45.414722222222224 -69.19777777777779,grande
Lago Cardiel,Santa Cruz,358,,49,-48.9175 -71.21472222222222,grande
Lago Epecuén,Buenos Aires,156,11,7,-37.12916666666667 -62.86472222222223,grande
Lago Pellegrini,Río Negro,116,,,-38.706944444444446 -67.97305555555556,grande
Lago Strobel,Santa Cruz,100,,,-48.43277777777777 -71.19027777777778,grande
Lago Fontana,Chubut,84,,79,-44.921388888888885 -71.49583333333334,grande
Lago Huechulafquen,Neuquén,84,,142,-39.77444444444444 -71.50888888888889,grande
Lago Traful,Neuquén,78,,,-40.63055555555555 -71.41527777777779,grande
Lago La Plata,Chubut,73,,,-44.85916666666667 -71.82,grande
Lago Ghío,Santa Cruz,65,,,-47.288333333333334 -71.53027777777778,grande
Lago Menéndez,Chubut,58,287,149,-42.691111111111105 -71.8625,medio
Lago Aluminé,Neuquén,58,165,64,-38.92166666666667 -71.12638888888888,medio
Lago Lácar,Neuquén,53,277,166,-40.1625 -71.4363888888889,medio
Lago Yehuin,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",49,,43,-54.411944444444444 -67.71527777777779,medio
Lago Quiroga,Santa Cruz,47,,,-48.41694444444444 -71.55083333333333,medio
Lago Puelo,Chubut,47,180,111,-42.15083333333333 -71.64972222222222,medio
Lago Nansen,Santa Cruz,42,,,-47.97888888888889 -72.35305555555556,medio
Lago Belgrano,Santa Cruz,42,,,-47.84388888888889 -72.14277777777778,medio
Lago Futalaufquen,Chubut,42,168,101,-42.82833333333333 -71.67527777777778,medio
Lago Posadas,Santa Cruz,41,,31,-47.49444444444445 -71.83194444444445,medio
Lago Espejo,Neuquén,40,,,-40.67583333333333 -71.71111111111111,medio
Lago Mascardi,Río Negro,39,218,111,-41.346111111111114 -71.54777777777778,medio
Lago Chepelmut,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",38,,,-54.394999999999996 -67.59333333333333,medio
Lago Salitroso o Sucio,Santa Cruz,37,,,-47.5 -71.61333333333333,medio
Lago Lolog,Neuquén,37,,,-40.03611111111111 -71.5363888888889,medio
Lago Tar,Santa Cruz,30,,,-49.22833333333333 -72.01722222222222,medio
Lago Tromen,Neuquén,29,,69,-39.52583333333333 -71.44777777777779,medio
Lago Blanco,Chubut,28,,,-45.88777777777778 -71.22361111111111,medio
Lago Quillén,Neuquén,26,,,-39.41138888888889 -71.31444444444445,medio
Lago Asador o Guitarra,Santa Cruz,23,,,-47.862500000000004 -71.47027777777778,medio
Lago Rivadavia,Chubut,23,147,104,-42.61083333333333 -71.66638888888889,medio
Lago Moquehue,Neuquén,21,,,-38.904444444444444 -71.27388888888889,medio
Lago Correntoso,Neuquén,20,,,-40.702222222222225 -71.65972222222223,medio
Lago Río Chico,Chubut,20,,,-45.59444444444445 -68.54777777777778,medio
Lago Quiroga Chico,Santa Cruz,20,,,-48.49916666666667 -71.58472222222221,medio
Lago Epuyén,Chubut,17,148,92,-42.1875 -71.50666666666666,chico
Lago Gutiérrez,Río Negro,17,111,80,-41.20777777777778 -71.42027777777778,chico
Lago Cholila,Chubut,17,108,49,-42.45861111111111 -71.66916666666667,chico
Lago Paimún,Neuquén,16,,66,-39.72416666666667 -71.58388888888888,chico
Lago Azara,Santa Cruz,16,,,-47.84583333333334 -72.27027777777778,chico
Lago Burmeister,Santa Cruz,14,,,-47.955555555555556 -72.2025,chico
Lago Onelli,Santa Cruz,14,,,-50.108333333333334 -73.34972222222221,chico
Lago Meliquina,Neuquén,14,,,-40.333333333333336 -71.31944444444444,chico
Lago Perito Moreno,Río Negro,12,,,-41.066111111111105 -71.5411111111111,chico
Lago Currhué,Neuquén,12,,,-39.84 -71.5075,chico
Lago Falkner,Neuquén,11,,,-40.485 -71.47583333333334,chico
Lago Pico Nº 1,Chubut,10,,,-44.24194444444444 -71.50222222222222,chico
Lago Río Bueno,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",10,,,-54.68861111111111 -65.80638888888889,chico
Lago Rosario,Chubut,10,57,25,-43.26 -71.34666666666666,chico
